Pays,Quantite
Guinée Bissau,217
Sierra Leone,852
Gambie,1315
Libéria,1593
Cap Vert,1816
Niger,4404
Guinée,5662
Bénin,6076
Togo,6500
Mali,6934
Burkina Faso,7142
Sénégal,19789
Côte d'Ivoire,34271
Ghana,64657
Nigéria,149250
